clause_id,related_clause_id,relationship_type
"7c52738b-4c01-4bd2-82ba-529fdee5f88e","3aa67b91-f90a-4055-9791-947dac19ae27","PARENT"
"7c52738b-4c01-4bd2-82ba-529fdee5f88e","67bb92c8-92e9-4455-b632-ddc80719f71f","SIBLING"
"7c52738b-4c01-4bd2-82ba-529fdee5f88e","7565a2b0-e617-4cfc-8bd6-061b7566b0ae","SIBLING"
"67bb92c8-92e9-4455-b632-ddc80719f71f","3aa67b91-f90a-4055-9791-947dac19ae27","PARENT"
"67bb92c8-92e9-4455-b632-ddc80719f71f","7c52738b-4c01-4bd2-82ba-529fdee5f88e","SIBLING"
"3aa67b91-f90a-4055-9791-947dac19ae27","7565a2b0-e617-4cfc-8bd6-061b7566b0ae","SIBLING"
"3aa67b91-f90a-4055-9791-947dac19ae27","e6369126-2d70-4d14-8210-9b7f601b219b","SIBLING"
"e6369126-2d70-4d14-8210-9b7f601b219b","3aa67b91-f90a-4055-9791-947dac19ae27","PARENT"
"e6369126-2d70-4d14-8210-9b7f601b219b","c39ca054-b86a-48db-9678-4cef1eedd91f","SIBLING"
"e6369126-2d70-4d14-8210-9b7f601b219b","7565a2b0-e617-4cfc-8bd6-061b7566b0ae","SIBLING"
"c39ca054-b86a-48db-9678-4cef1eedd91f","e6369126-2d70-4d14-8210-9b7f601b219b","PARENT"
"c39ca054-b86a-48db-9678-4cef1eedd91f","3aa67b91-f90a-4055-9791-947dac19ae27","SIBLING"
"c39ca054-b86a-48db-9678-4cef1eedd91f","7565a2b0-e617-4cfc-8bd6-061b7566b0ae","SIBLING"
"defd3645-79de-4161-bfbe-35c77358b749","3aa67b91-f90a-4055-9791-947dac19ae27","PARENT"
"defd3645-79de-4161-bfbe-35c77358b749","e6369126-2d70-4d14-8210-9b7f601b219b","SIBLING"
"defd3645-79de-4161-bfbe-35c77358b749","c39ca054-b86a-48db-9678-4cef1eedd91f","SIBLING"
"3f175fd7-1df9-4e02-8b6c-40d99d8b0e94","4e0b4843-1590-4bb1-9312-5e013d77e283","SIBLING"
"c7946e9d-e526-4776-81f7-e82a97ae8897","a17218cc-176e-4196-96bd-c9c8069240d6","SIBLING"
"c7946e9d-e526-4776-81f7-e82a97ae8897","b1c32fd0-fa02-40a8-97cf-1a3e5a0d5c07","SIBLING"
"a17218cc-176e-4196-96bd-c9c8069240d6","c7946e9d-e526-4776-81f7-e82a97ae8897","PARENT"
"a17218cc-176e-4196-96bd-c9c8069240d6","b1c32fd0-fa02-40a8-97cf-1a3e5a0d5c07","SIBLING"
"4e0b4843-1590-4bb1-9312-5e013d77e283","3f175fd7-1df9-4e02-8b6c-40d99d8b0e94","SIBLING"
"4e0b4843-1590-4bb1-9312-5e013d77e283","1a930f70-9c21-438e-a715-6ec1461a9708","SIBLING"
"7565a2b0-e617-4cfc-8bd6-061b7566b0ae","3aa67b91-f90a-4055-9791-947dac19ae27","PARENT"
"7565a2b0-e617-4cfc-8bd6-061b7566b0ae","7c52738b-4c01-4bd2-82ba-529fdee5f88e","SIBLING"
"7565a2b0-e617-4cfc-8bd6-061b7566b0ae","4e0b4843-1590-4bb1-9312-5e013d77e283","SIBLING"
"660ccf7e-8729-4e0d-841b-64a9bf027d89","3c0c224d-56f1-4f08-aef9-0764a33fc581","SIBLING"
"660ccf7e-8729-4e0d-841b-64a9bf027d89","7565a2b0-e617-4cfc-8bd6-061b7566b0ae","SIBLING"
"4114b2e4-43f0-43fc-9790-064eaab1a53c","660ccf7e-8729-4e0d-841b-64a9bf027d89","SIBLING"
"ee2701c5-467b-42be-92ca-a73ee83046ea","4e7a450c-6fce-49e3-a5fa-272b99a0cb64","SIBLING"
"ee2701c5-467b-42be-92ca-a73ee83046ea","141450dd-db38-455d-b84c-f21c08e55a19","SIBLING"
"4e7a450c-6fce-49e3-a5fa-272b99a0cb64","141450dd-db38-455d-b84c-f21c08e55a19","PARENT"
"4e7a450c-6fce-49e3-a5fa-272b99a0cb64","ee2701c5-467b-42be-92ca-a73ee83046ea","SIBLING"
"141450dd-db38-455d-b84c-f21c08e55a19","ee2701c5-467b-42be-92ca-a73ee83046ea","SIBLING"
"141450dd-db38-455d-b84c-f21c08e55a19","4e7a450c-6fce-49e3-a5fa-272b99a0cb64","SIBLING"
"bf8b1019-434c-47c4-a42e-60a4879b5918","f855d3b4-0015-4bd3-8699-054b6f7c9dc8","PARENT"
"ece3f651-b4ba-476c-be86-a96c7b0776c6","b1c32fd0-fa02-40a8-97cf-1a3e5a0d5c07","SIBLING"
"e5b9886f-5fb9-45ba-8d34-f8f06604557d","b1c32fd0-fa02-40a8-97cf-1a3e5a0d5c07","PARENT"
"b5cd3221-6c4a-4430-b071-62f343568e7c","ff34c767-4d41-4c5b-aeec-f702ed6e12ba","SIBLING"
"ff34c767-4d41-4c5b-aeec-f702ed6e12ba","b5cd3221-6c4a-4430-b071-62f343568e7c","PARENT"
"ff34c767-4d41-4c5b-aeec-f702ed6e12ba","97672bfe-ff79-4379-86de-8a59980e93d4","SIBLING"
"97672bfe-ff79-4379-86de-8a59980e93d4","ff34c767-4d41-4c5b-aeec-f702ed6e12ba","SIBLING"
