id,title,description,intent,status,category,family_id,conditions,implementation_guidance,assessment_method,risk_classification,reference_url,embedding_vector,metadata,created_at,updated_at,created_by,updated_by
141450dd-db38-455d-b84c-f21c08e55a19,Prohibition on Contracting with Entities Using Certain Telecommunications and Video Surveillance Services or Equipment,"Implements the prohibition on contracting with entities that use Huawei, ZTE, or other designated telecommunications or video surveillance equipment. This clause is an enforcement mechanism for Section 889 of the FY19 NDAA.",Prevent federal funding from supporting foreign technologies deemed a national security threat.,Active,Supply Chain Security,d044b843-132b-4886-b189-3c143a6b12e8,"Applies to all federal contracts, including micro-purchases, with rare exceptions.","Ensure the contractor and any subcontractor do not use covered equipment or services. Conduct due diligence and maintain records. If discovered post-award, report to the contracting officer within one business day and provide a mitigation plan within ten.","Contractor representations, inspections, and audits.",HIGH,https://www.acquisition.gov/far/52.204-25,,"{""penalties"":""Contracts may be terminated, and contractors debarred or penalized for violations or failure to report covered technology usage."",""reciprocity"":""Direct enforcement of NDAA Section 889 prohibitions. Related to FAR 52.204-24."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
15467991-e50a-4446-b648-4bc1c272f516,Health Insurance Portability and Accountability Act,"HIPAA sets national standards for the protection of health information. It applies to covered entities (health plans, providers, and clearinghouses) and their business associates handling Protected Health Information (PHI). The Security Rule and Privacy Rule define administrative, physical, and technical safeguards.","Protect the confidentiality, integrity, and availability of PHI in electronic and paper formats.",Active,Privacy,940b3d93-2129-4020-9ea2-9cce0a490e58,"Applies to any entity handling PHI, including government contractors providing health-related services.","Implement required safeguards per the HIPAA Security Rule. Conduct regular risk assessments, maintain privacy notices, and ensure breach notification processes. Train workforce members and document all policies and procedures.","HHS audits, internal risk assessments, and contractual privacy compliance checks.",HIGH,https://www.hhs.gov/hipaa/for-professionals/privacy/laws-regulations/index.html,,"{""penalties"":""Violations may result in civil and criminal penalties, including fines up to $1.5M per violation category per year."",""reciprocity"":""Partially aligned with NIST frameworks (800-53, 800-66). Mapped to several CUI protection controls."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
1a930f70-9c21-438e-a715-6ec1461a9708,Guide for Mapping Types of Information and Information Systems to Security Categories,"NIST SP 800-60 provides guidance for categorizing federal information and systems according to FIPS 199. It maps specific types of information (e.g., financial, privacy, legal) to security impact levels across confidentiality, integrity, and availability.",Support accurate and standardized security categorization for system impact assessments.,Active,Cybersecurity,f64bdda3-cf84-4f58-87b7-d0869de5e750,Applies when performing security categorization for any federal system or federal data handled by a contractor.,Use the volume and appendices to determine the proper security impact levels for each data type handled by the system. Combine these values to derive the system's overall impact level (low/moderate/high).,Document review during RMF Step 1 or system authorization phase.,LOW,https://csrc.nist.gov/pubs/sp/800/60/v1/r1/final,,"{""penalties"":""Improper mappings can result in misclassification of risk and deployment of inappropriate security controls, leading to compliance failure."",""reciprocity"":""Supports FIPS 199 and feeds into RMF and NIST 800-37 process."",""last_updated"":""2025-01-01""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
3aa67b91-f90a-4055-9791-947dac19ae27,Safeguarding Covered Defense Information and Cyber Incident Reporting,"Cornerstone DoD clause for cybersecurity: requires contractors to provide ""adequate security"" for all Covered Defense Information (CDI) on their systems and to rapidly report any cyber incidents to DoD. ""Covered defense information"" includes Controlled Unclassified Information (CUI) and export-controlled or military-critical technical data. Specifically, contractors must implement NIST SP 800-171 controls on any internal information system that processes or stores CDI, and flow down the clause to subs. Contractors must report cyber incidents (within 72 hours typically) and preserve/log data for DoD review. They may also be required to submit malware samples and cooperate with DoD damage assessments. (This clause also references an optional DoD-provided incident collection system, DIBNet.)",Ensure the protection of sensitive defense information and to provide visibility into cybersecurity incidents affecting DoD supply chains.,Active,Cybersecurity,6648b6cc-afab-4fec-b22a-11b6c2f2ecbb,"Applies to all DoD contractors handling CDI or operating contractor-owned systems storing, processing or transmitting CDI","Perform a gap assessment and fully implement NIST SP 800-171 security requirements on all covered contractor information systems (110 security controls covering access control, encryption, audit logs, incident response, etc.). Have an incident response plan and training so that any ""cyber incident"" (e.g. network breach) involving CDI is identified and reported to DoD within the required timeframe. Use DoD's online reporting portal to submit required incident details. Preserve forensic evidence (system images, log files) for 90 days as the clause mandates, and facilitate any DoD post-incident investigation or damage assessment. Flow this clause to all subcontracts handling CDI and ensure subs also implement 800-171 and report incidents.",Self-Assessment,HIGH,https://www.acquisition.gov/dfars/252.204-7012-safeguarding-covered-defense-information-and-cyber-incident-reporting.,,"{""penalties"":""If a contractor fails to implement the required security controls or to report breaches, DoD can consider it a breach of contract, potentially resulting in termination for default or negative past performance ratings. DoD may also withhold award fees or exclude the contractor from future contracts. Not reporting an incident (or misrepresenting cybersecurity compliance) could invite False Claims Act liability. Additionally, a cyber incident not properly handled can lead to loss of sensitive DoD data – harming national security – which may bring intense scrutiny or suspension of the contractor."",""reciprocity"":""Shared/redundant compliance"",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
3c0c224d-56f1-4f08-aef9-0764a33fc581,Security Requirements,"This clause establishes baseline security requirements for contractors processing classified information. It mandates compliance with the National Industrial Security Program Operating Manual (NISPOM), and other DoD or agency-specific directives.",Ensure classified information is safeguarded through standardized security procedures.,Active,Cybersecurity,d044b843-132b-4886-b189-3c143a6b12e8,Applies when a contract involves access to classified information.,"Contractors must maintain a facility clearance, appoint a Facility Security Officer (FSO), and implement controls in accordance with the NISPOM. Security violations must be reported to the appropriate authority, and subcontractors must comply with the same requirements.",Security inspections by the Defense Counterintelligence and Security Agency (DCSA) or agency equivalent.,HIGH,https://www.acquisition.gov/far/52.204-2,,"{""penalties"":""Violations can lead to suspension or revocation of facility clearance, contract termination, or debarment."",""reciprocity"":""Aligns with government-wide industrial security protocols under the NISP."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
3f175fd7-1df9-4e02-8b6c-40d99d8b0e94,Standards for Security Categorization of Federal Information and Information Systems,Establishes security categories for federal information and information systems based on potential impact of a security breach.,Provide a standardized approach for categorizing information and systems based on security impact.,Active,Cybersecurity,6d3a03eb-9d3f-4e89-9c61-0d394aa99538,Applies to all federal information systems.,"Conduct a security categorization assessment based on potential impact to confidentiality, integrity, and availability.",Security assessment and authorization process.,HIGH,https://nvlpubs.nist.gov/nistpubs/fips/nist.fips.199.pdf,,"{""penalties"":""Non-compliance may result in system authorization denial."",""reciprocity"":""Supports risk management framework."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
4114b2e4-43f0-43fc-9790-064eaab1a53c,Privacy or Security Safeguards,"This clause mandates that contractors must not publish or disclose any sensitive information unless authorized, and that adequate safeguards must be applied to protect records subject to the Privacy Act or other sensitive data.","Prevent unauthorized access, use, or disclosure of privacy-protected or sensitive government data.",Active,Privacy,d044b843-132b-4886-b189-3c143a6b12e8,"Applies when a contract involves design, development, or operation of a system of records or sensitive information.","Implement technical, administrative, and physical controls to protect sensitive or Privacy Act data. Ensure access is limited to authorized personnel and provide training on handling restrictions.",Review of security plans and data handling procedures.,HIGH,https://www.acquisition.gov/far/52.239-1,,"{""penalties"":""Unauthorized disclosures can trigger Privacy Act violations, financial penalties, or civil liability."",""reciprocity"":""May overlap with NIST 800-53 privacy controls and agency-specific privacy programs."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
4e0b4843-1590-4bb1-9312-5e013d77e283,Security and Privacy Controls for Information Systems and Organizations,"NIST SP 800-53 provides a comprehensive catalog of security and privacy controls for federal information systems. It enables organizations to select controls based on the system's FIPS 199 impact level, ensuring a risk-based approach to safeguarding operations and assets.",Establish a structured methodology for selecting and implementing security and privacy controls.,Active,Cybersecurity,f64bdda3-cf84-4f58-87b7-d0869de5e750,Applies to all federal systems and contractors supporting federal agencies under FISMA or RMF frameworks.,"Identify system categorization via FIPS 199, then select a baseline of controls based on NIST SP 800-53 guidance. Tailor controls based on system needs and document them in the SSP. Implement selected controls and conduct assessments using guidance from NIST SP 800-53A.",Control-by-control testing and document review aligned to NIST SP 800-53A.,HIGH,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,,"{""penalties"":""Failure to implement required controls may result in denial or revocation of ATO, findings in audits, or breaches of contract terms."",""reciprocity"":""Forms the basis for RMF and is used across FedRAMP, FISMA, and DoD ATO processes."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
4e7a450c-6fce-49e3-a5fa-272b99a0cb64,Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment,"Requires contractors to disclose whether they use any covered telecommunications equipment or services produced by Huawei, ZTE, Hytera, Hikvision, or Dahua. This is a proactive disclosure requirement prior to contract award.",Enable federal agencies to assess and avoid procurement of technologies posing supply chain risks.,Active,Supply Chain Security,d044b843-132b-4886-b189-3c143a6b12e8,Mandatory representation included in nearly all solicitations and contracts.,"Conduct an internal assessment to identify any use of covered technologies. If such technologies are used, complete the representation with a full disclosure and mitigation plan. Coordinate with agency to determine acceptability prior to award.",Pre-award representations and post-award audits.,HIGH,https://www.acquisition.gov/far/52.204-24,,"{""penalties"":""False representation may trigger False Claims Act liability, contract suspension, or disqualification."",""reciprocity"":""Supports enforcement of Section 889 of the FY19 NDAA."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
660ccf7e-8729-4e0d-841b-64a9bf027d89,Basic Safeguarding of Covered Contractor Information Systems,This clause requires contractors to apply 15 basic safeguarding controls to protect Federal Contract Information (FCI) in nonfederal systems. It forms the minimum cybersecurity baseline for any federal contractor.,Safeguard FCI on contractor-owned IT systems that are not intended to process classified information.,Active,Cybersecurity,d044b843-132b-4886-b189-3c143a6b12e8,"Applies to any contract where a contractor may store, process, or transmit FCI.","Implement basic protections such as access control, system monitoring, patching, and physical safeguards. Ensure policies are documented and systems are monitored for unauthorized access or usage.",Proposal representations and post-award compliance spot checks.,MEDIUM,https://www.acquisition.gov/far/52.204-21,,"{""penalties"":""Failure to implement required safeguards can lead to contractual remedies or termination for default."",""reciprocity"":""Serves as a foundation for DFARS 7012 and NIST 800-171 for CUI protection."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
